task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
22	36/261c92	166b85b5-358c-431a-ae1e-74b017ff1959	trimReads (14)	CACHED	0	2020-09-21 16:33:11.955	8m 48s	5m 7s	326.1%	594.8 MB	5.1 GB	1.1 GB	918.3 MB
20	48/900e90	5af1eff5-bd02-4554-a36e-462dd62d3fa3	trimReads (12)	CACHED	0	2020-09-21 16:33:11.901	12m 18s	8m 39s	316.6%	608 MB	5.1 GB	1.8 GB	1.5 GB
18	05/d393ae	12aed680-7f23-4c68-9c42-5ddb2ef3ae37	trimReads (11)	CACHED	0	2020-09-21 16:33:11.919	12m 58s	9m 9s	327.2%	595.5 MB	5.1 GB	1.9 GB	1.6 GB
14	45/b7917f	35b975dd-44c1-48b8-a62a-30383dc1ed79	filterTp (2)	CACHED	0	2020-09-21 16:37:30.659	2m 19s	3.9s	1466.2%	1.9 GB	59.5 GB	1009.1 MB	1016.9 MB
15	2f/f62457	31edeb93-8e73-45f7-8985-7e85e65956d8	filterTp (7)	CACHED	0	2020-09-21 16:40:53.430	5m 37s	11.3s	1832.2%	6.3 GB	59.9 GB	4.1 GB	4.2 GB
19	b5/283067	3a431c7e-d799-4438-93ad-812459a47d10	filterTp (12)	CACHED	0	2020-09-21 16:43:42.368	4m 39s	25.8s	1362.3%	8.7 GB	60 GB	6.6 GB	6.7 GB
9	8c/335f28	024a3305-8483-4509-a122-05167e19cf44	filterTp (1)	CACHED	0	2020-09-21 16:37:20.896	1m 39s	3.5s	1453.1%	1.9 GB	59.4 GB	912.5 MB	918.9 MB
11	dd/687b6f	ff469aac-f086-48c5-bdbd-a96884e44b32	filterTp (10)	CACHED	0	2020-09-21 16:42:22.080	5m 59s	23.6s	1284.4%	8.5 GB	59.9 GB	5.5 GB	5.6 GB
13	f0/3e184b	170cb75c-cf9f-4ed1-b10a-ac195ca7de6f	filterTp (4)	CACHED	0	2020-09-21 16:38:20.815	2m 30s	4.4s	1521.2%	1.9 GB	59.4 GB	1.2 GB	1.2 GB
10	73/ceaacb	a20c7ce3-84a2-4314-9a7b-da7a5d280f0b	filterTp (11)	CACHED	0	2020-09-21 16:42:30.607	5m 40s	14s	1898.9%	7.6 GB	59.9 GB	5.5 GB	5.5 GB
12	29/46157f	f6d6b967-2c4a-4a50-b8ef-bbd2096ebf87	filterTp (6)	CACHED	0	2020-09-21 16:40:20.652	5m 40s	10.9s	1828.8%	6.1 GB	59.9 GB	3.9 GB	3.9 GB
31	84/82f009	7fde0c94-3083-43cf-8f04-06a38fb88bd3	filterTp (8)	CACHED	0	2020-09-21 16:41:23.175	5m 37s	10.9s	1853.3%	6.6 GB	59.9 GB	4.1 GB	4.2 GB
35	5c/b8611e	b29130bb-e936-4a78-94a2-dff5070df6e9	filterTp (3)	CACHED	0	2020-09-21 16:38:10.632	2m 10s	3.8s	1433.2%	1.9 GB	59.7 GB	980.1 MB	987.8 MB
34	b4/7a1aa7	13a995b2-3b3c-4a3e-aa25-aabcf99ce509	filterTp (5)	CACHED	0	2020-09-21 16:38:22.390	2m 58s	3.9s	1512.0%	2 GB	59.9 GB	1.1 GB	1.1 GB
37	c0/d1b0c7	5e18701d-09aa-4b45-8a0a-998a47f6193e	filterTp (13)	CACHED	0	2020-09-21 16:45:35.964	2m 55s	23.4s	1874.4%	11.1 GB	59.9 GB	8.4 GB	8.5 GB
28	6f/1c671e	3e1095e3-9650-4af7-814d-f2426b91e1c9	filterTp (13)	CACHED	0	2020-09-21 16:55:20.472	14m 2s	28.3s	2012.4%	11.4 GB	59.9 GB	12.2 GB	12.4 GB
36	f1/a7e186	724f175f-6454-466d-9ee6-8c9f534fdaf9	filterTp (9)	CACHED	0	2020-09-21 16:42:02.176	6m 28s	15.1s	1751.8%	6.2 GB	59.9 GB	4.9 GB	4.9 GB
38	1c/67388b	7af41292-5e71-4dcf-993e-6d2bb86c226a	filterTp (14)	CACHED	0	2020-09-21 16:46:13.748	1m 57s	20.9s	2041.3%	11.2 GB	59.9 GB	9 GB	9.1 GB
32	07/cb26cd	7b53582b-52e5-492d-9b07-e4e42724b6ba	mapUnmatchedReads (2)	CACHED	0	2020-09-21 16:55:21.081	1h 1m 2s	47m 46s	714.0%	94.2 GB	118.3 GB	10 GB	9.9 GB
30	45/fa6d62	c9ee1002-331a-4e78-8128-b4df5bf98802	mapUnmatchedReads (3)	CACHED	0	2020-09-21 16:55:21.356	1h 1m 12s	47m 30s	682.0%	91.5 GB	114.2 GB	2.2 GB	2.2 GB
24	b6/424513	a7fb3b0b-ac84-4924-afe5-ae84611f4a7c	mapUnmatchedReads (4)	CACHED	0	2020-09-21 16:55:21.258	1h 2m 52s	49m 37s	654.2%	89.8 GB	118.2 GB	1.8 GB	1.8 GB
29	5f/f6c10e	883a59dc-ad29-4c4d-ad7b-2cd876b11775	mapUnmatchedReads (7)	CACHED	0	2020-09-21 16:55:21.385	1h 4m 12s	50m 23s	702.2%	88.7 GB	114.3 GB	10 GB	10 GB
26	d6/7ecbb6	343ec99c-b6b2-42b7-856a-0c29675af6b6	mapUnmatchedReads (1)	CACHED	0	2020-09-21 16:55:21.742	1h 2m 31s	48m 9s	689.2%	98.5 GB	119.1 GB	11.9 GB	11.9 GB
25	57/bd2913	468fb847-b194-445f-86cc-c69d10132dcc	mapUnmatchedReads (5)	CACHED	0	2020-09-21 16:55:21.449	1h 1m 22s	47m 39s	703.6%	90.3 GB	118.9 GB	7.5 GB	7.5 GB
33	ec/cced41	e7e7f600-be06-499d-8cad-b373e0e8a973	mapUnmatchedReads (8)	CACHED	0	2020-09-21 16:55:21.014	1h 42s	47m 24s	688.6%	88.1 GB	117.7 GB	7 GB	7 GB
